
CommandType     Name                                               Version    So
Cmdlet          Get-Pfa2PolicyAutodirMember                        2.24.70    P…
Cmdlet          Get-Pfa2PolicyMember                               2.24.70    P…
Cmdlet          Get-Pfa2PolicyNfs                                  2.24.70    P…
Cmdlet          Get-Pfa2PolicyNfsClientRule                        2.24.70    P…
Cmdlet          Get-Pfa2PolicyNfsMember                            2.24.70    P…
Cmdlet          Get-Pfa2PolicyQuota                                2.24.70    P…
Cmdlet          Get-Pfa2PolicyQuotaMember                          2.24.70    P…
Cmdlet          Get-Pfa2PolicyQuotaRule                            2.24.70    P…
Cmdlet          Get-Pfa2PolicySmb                                  2.24.70    P…
Cmdlet          Get-Pfa2PolicySmbClientRule                        2.24.70    P…
Cmdlet          Get-Pfa2PolicySmbMember                            2.24.70    P…
Cmdlet          Get-Pfa2PolicySnapshot                             2.24.70    P…
Cmdlet          Get-Pfa2PolicySnapshotMember                       2.24.70    P…
Cmdlet          Get-Pfa2PolicySnapshotRule                         2.24.70    P…
Cmdlet          Get-Pfa2Port                                       2.24.70    P…
Cmdlet          Get-Pfa2PortInitiator                              2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroup                            2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupHost                        2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupHostGroup                   2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupPerformanceReplication      2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupPerformanceReplicationByAr… 2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupSnapshot                    2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupSnapshotTransfer            2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupSpace                       2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupTarget                      2.24.70    P…
Cmdlet          Get-Pfa2ProtectionGroupVolume                      2.24.70    P…
Cmdlet          Get-Pfa2RemotePod                                  2.24.70    P…
Cmdlet          Get-Pfa2RemoteProtectionGroup                      2.24.70    P…
Cmdlet          Get-Pfa2RemoteProtectionGroupSnapshot              2.24.70    P…
Cmdlet          Get-Pfa2RemoteProtectionGroupSnapshotTransfer      2.24.70    P…
Cmdlet          Get-Pfa2RemoteVolumeSnapshot                       2.24.70    P…
Cmdlet          Get-Pfa2RemoteVolumeSnapshotTransfer               2.24.70    P…
Cmdlet          Get-Pfa2Session                                    2.24.70    P…
Cmdlet          Get-Pfa2SmiS                                       2.24.70    P…
Cmdlet          Get-Pfa2SmtpServer                                 2.24.70    P…
Cmdlet          Get-Pfa2SnmpAgent                                  2.24.70    P…
Cmdlet          Get-Pfa2SnmpAgentMib                               2.24.70    P…
Cmdlet          Get-Pfa2SnmpManager                                2.24.70    P…
Cmdlet          Get-Pfa2SnmpManagerTest                            2.24.70    P…
Cmdlet          Get-Pfa2Software                                   2.24.70    P…
Cmdlet          Get-Pfa2SoftwareBundle                             2.24.70    P…
Cmdlet          Get-Pfa2SoftwareCheck                              2.24.70    P…
Cmdlet          Get-Pfa2SoftwareInstallation                       2.24.70    P…
Cmdlet          Get-Pfa2SoftwareInstallationStep                   2.24.70    P…
Cmdlet          Get-Pfa2SoftwarePatch                              2.24.70    P…
Cmdlet          Get-Pfa2SoftwarePatchCatalog                       2.24.70    P…
Cmdlet          Get-Pfa2SoftwareVersion                            2.24.70    P…
Cmdlet          Get-Pfa2SsoSaml2                                   2.24.70    P…
Cmdlet          Get-Pfa2SsoSaml2Test                               2.24.70    P…
Cmdlet          Get-Pfa2Subnet                                     2.24.70    P…
Cmdlet          Get-Pfa2Support                                    2.24.70    P…
Cmdlet          Get-Pfa2SupportTest                                2.24.70    P…
